host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,amenities_count,host_experience_days
within a few hours,1.0,0.69,True,2.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66434,-79.42496,Entire guest suite,Entire home/apt,2,1.0,1.0,90.0,28,1125,0,25,55,145,47,4,0,4.85,4.96,4.91,4.94,4.89,4.89,4.77,False,0.95,31,1371.0
no response,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.64698,-79.39121,Entire condo,Entire home/apt,2,1.0,2.0,130.0,28,1125,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.04,16,2151.0
no response,0.0,0.0,False,1.0,True,False,Playter Estates-Danforth,43.67943,-79.34853,Entire rental unit,Entire home/apt,2,1.0,1.0,45.0,28,30,0,0,0,0,4,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,False,0.08,12,2971.0
no response,0.0,0.0,False,4.0,True,True,High Park North,43.65953,-79.45416,Private room in rental unit,Private room,3,1.0,1.0,80.0,28,1125,0,0,0,0,9,0,0,4.63,4.38,4.63,4.5,4.88,5.0,4.75,True,0.19,22,3509.0
within an hour,1.0,0.91,False,70.0,True,True,Waterfront Communities-The Island,43.64126,-79.38277,Entire condo,Entire home/apt,8,3.0,4.0,1999.0,28,90,30,60,90,179,20,0,0,4.95,5.0,4.95,4.95,5.0,4.85,4.85,False,0.42,33,3236.0
within an hour,0.94,0.98,True,3.0,True,True,The Beaches,43.6668,-79.30347,Entire home,Entire home/apt,3,2.0,2.0,359.0,2,80,18,48,48,98,8,5,1,5.0,5.0,4.88,5.0,5.0,5.0,5.0,False,0.16,62,1245.0
within an hour,1.0,0.92,True,3.0,True,True,The Beaches,43.67634,-79.29922,Entire guest suite,Entire home/apt,2,1.0,1.0,185.0,2,1125,6,27,52,327,41,40,8,4.98,4.98,5.0,4.98,4.98,4.9,4.83,False,3.34,35,3231.0
a few days or more,0.2,1.0,False,1.0,True,False,Waterfront Communities-The Island,43.64787,-79.39333,Entire condo,Entire home/apt,4,2.0,3.0,495.0,28,365,6,36,66,156,7,1,1,4.43,4.43,4.29,4.43,4.43,4.43,4.43,False,0.14,26,2491.0
within a day,0.9,0.93,True,1.0,True,True,Roncesvalles,43.64544,-79.44713,Entire guest suite,Entire home/apt,2,1.0,1.0,90.0,2,14,3,3,3,3,73,31,2,4.93,4.9,4.93,5.0,4.97,4.93,4.84,False,1.87,27,2481.0
within an hour,0.9,0.89,False,6.0,True,True,Oakridge,43.70043,-79.2766,Private room in home,Private room,2,1.0,1.0,54.0,28,60,15,45,75,75,3,2,0,5.0,5.0,4.33,5.0,5.0,5.0,5.0,False,0.08,14,3265.0
no response,0.0,0.0,False,1.0,True,True,Little Portugal,43.64946,-79.43424,Entire rental unit,Entire home/apt,4,1.0,2.0,150.0,28,1125,0,0,0,0,10,0,0,4.5,4.9,4.5,4.9,4.7,5.0,4.8,True,0.2,13,3661.0
within an hour,1.0,1.0,False,1.0,True,True,Lawrence Park North,43.72452,-79.40971,Entire bungalow,Entire home/apt,3,2.0,2.0,173.0,28,1125,1,16,46,136,18,3,0,4.89,4.94,4.72,4.89,4.89,4.83,4.78,False,0.37,19,2063.0
no response,0.0,0.0,False,3.0,True,True,Niagara,43.64421,-79.40404,Private room in condo,Private room,4,2.0,2.0,100.0,28,30,0,0,0,0,5,0,0,4.6,4.8,4.8,5.0,5.0,5.0,4.6,True,0.1,35,2179.0
no response,0.0,0.0,False,2.0,True,False,Eringate-Centennial-West Deane,43.65579,-79.57137,Private room in condo,Private room,2,1.0,1.0,100.0,28,30,0,0,0,0,35,0,0,4.84,4.97,4.84,4.94,4.97,4.84,4.81,False,0.71,37,3661.0
within a few hours,1.0,0.75,False,3.0,True,False,University,43.66164,-79.40305,Entire townhouse,Entire home/apt,1,1.0,1.0,120.0,28,90,9,39,69,158,12,2,1,4.55,4.82,4.73,4.73,4.55,5.0,4.55,False,0.27,38,2061.0
within an hour,1.0,0.95,False,10.0,True,True,Bayview Village,43.77025,-79.37696,Private room in home,Private room,2,1.0,1.0,90.0,1,1125,14,14,14,14,33,2,2,4.76,4.91,4.76,4.94,4.88,4.7,4.79,False,0.68,40,2359.0
no response,0.0,0.0,False,3.0,True,True,Waterfront Communities-The Island,43.64324,-79.40169,Entire condo,Entire home/apt,8,3.0,4.0,300.0,28,30,0,0,0,0,8,0,0,4.88,4.88,4.75,5.0,5.0,5.0,4.63,True,0.17,36,2179.0
within a few hours,1.0,1.0,True,3.0,True,True,South Parkdale,43.63809,-79.44076,Entire rental unit,Entire home/apt,6,2.0,3.0,150.0,28,175,14,44,74,163,102,3,1,4.65,4.77,4.6,4.72,4.47,4.58,4.71,True,2.07,35,2416.0
no response,0.0,0.0,False,1.0,True,False,Dovercourt-Wallace Emerson-Junction,43.66554,-79.44823,Private room in condo,Private room,1,1.0,1.0,50.0,28,30,0,0,0,0,3,0,0,4.67,5.0,5.0,5.0,5.0,5.0,5.0,False,0.06,21,2426.0
no response,0.0,0.0,False,2.0,True,False,Waterfront Communities-The Island,43.64088,-79.39818,Private room in condo,Private room,2,1.0,1.0,51.0,28,1125,0,0,0,0,6,0,0,4.33,4.5,3.67,4.5,4.67,4.67,4.0,True,0.12,38,3656.0
within a day,0.5,1.0,False,9.0,True,True,Oakwood Village,43.69609,-79.44184,Private room in rental unit,Private room,2,1.0,1.0,48.0,28,1125,7,37,67,67,71,3,0,4.35,4.77,4.75,4.76,4.46,3.93,4.49,True,1.46,25,3092.0
within an hour,1.0,0.98,True,10.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66007,-79.44844,Entire home,Entire home/apt,7,3.0,3.0,494.0,1,1125,7,27,56,56,254,80,10,4.87,4.84,4.87,4.94,4.94,4.85,4.78,False,5.27,43,1914.0
within an hour,1.0,0.91,False,7.0,True,True,Annex,43.67026,-79.41895,Entire rental unit,Entire home/apt,2,1.0,1.0,121.0,29,1125,0,0,0,264,96,3,1,4.84,4.83,4.71,4.97,5.0,4.8,4.83,False,1.96,22,2681.0
no response,0.0,0.0,False,3.0,True,True,Waterfront Communities-The Island,43.64628,-79.39146,Entire condo,Entire home/apt,2,1.0,1.0,150.0,28,1125,0,0,0,0,16,0,0,4.94,4.94,4.88,4.88,4.94,5.0,4.94,False,0.33,22,2838.0
a few days or more,0.33,0.0,False,2.0,True,True,Blake-Jones,43.67448,-79.34065,Private room in home,Private room,1,1.0,1.0,45.0,30,45,6,16,43,43,32,1,0,4.97,5.0,4.97,5.0,5.0,4.91,4.94,False,0.7,33,1638.0
within an hour,0.99,0.75,False,29.0,True,True,Willowdale East,43.76176,-79.41008,Entire rental unit,Entire home/apt,3,1.0,1.0,199.0,28,365,30,60,90,365,8,0,0,4.13,4.5,4.0,4.63,4.13,4.38,3.88,False,0.21,30,2009.0
no response,0.0,0.0,False,6.0,True,True,Agincourt South-Malvern West,43.78603,-79.2597,Private room in villa,Private room,2,1.0,1.0,32.0,29,1125,0,0,0,0,17,0,0,4.65,4.53,4.35,5.0,4.76,4.82,4.65,False,0.35,27,2809.0
no response,0.0,0.0,False,2.0,True,True,Oakwood Village,43.69234,-79.43847,Private room in rental unit,Private room,2,1.0,1.0,80.0,28,90,0,0,0,0,11,0,0,4.9,5.0,5.0,5.0,5.0,4.4,4.9,False,0.22,23,3082.0
within a day,1.0,0.0,False,3.0,True,False,Clairlea-Birchmount,43.70091,-79.27558,Private room in townhouse,Private room,2,1.0,1.0,100.0,28,1125,30,60,90,365,13,0,0,5.0,5.0,4.85,5.0,5.0,4.69,4.77,True,0.33,25,3664.0
within a day,0.67,0.98,False,12.0,True,True,Waterfront Communities-The Island,43.64294,-79.38852,Entire condo,Entire home/apt,4,2.0,4.0,109.0,28,30,26,52,77,332,137,1,0,4.32,4.61,4.64,4.06,3.92,4.82,4.52,True,2.77,53,3566.0
no response,0.0,0.0,False,3.0,True,True,Waterfront Communities-The Island,43.64118,-79.38332,Private room in condo,Private room,1,1.0,1.0,89.0,28,30,0,0,0,0,23,0,0,4.7,4.78,4.65,4.83,4.78,4.91,4.43,True,0.47,30,2687.0
a few days or more,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.64175,-79.40181,Entire condo,Entire home/apt,4,1.0,1.0,900.0,28,1125,30,60,90,179,11,0,0,4.8,5.0,4.7,4.7,4.9,5.0,4.6,True,0.23,33,3657.0
within an hour,1.0,1.0,False,2.0,True,True,Wexford/Maryvale,43.743,-79.29892,Private room in bungalow,Private room,2,1.0,2.0,71.0,14,180,4,15,45,135,1,1,1,5.0,4.0,4.0,5.0,5.0,4.0,4.0,True,1.0,48,3109.0
within a few hours,1.0,1.0,True,2.0,True,True,Rouge,43.82406,-79.21506,Entire home,Entire home/apt,4,3.0,3.0,67.0,30,180,0,0,0,189,4,1,0,5.0,5.0,5.0,5.0,4.75,5.0,5.0,False,0.1,32,3657.0
no response,0.0,0.33,False,2.0,True,True,High Park-Swansea,43.64763,-79.45689,Entire home,Entire home/apt,8,4.0,4.0,1350.0,3,1125,10,40,70,305,25,0,0,4.96,5.0,4.92,5.0,5.0,4.96,4.83,False,0.51,42,2124.0
within an hour,1.0,1.0,True,2.0,True,True,Kensington-Chinatown,43.64862,-79.3993,Entire condo,Entire home/apt,2,1.0,1.0,130.0,28,1125,5,8,10,124,9,7,1,4.89,5.0,5.0,5.0,5.0,4.89,4.78,False,0.38,39,3232.0
within an hour,1.0,0.9,True,4.0,True,True,Lawrence Park South,43.71419,-79.40471,Entire rental unit,Entire home/apt,2,1.0,1.0,75.0,14,28,0,18,18,103,40,9,0,4.93,4.98,4.98,4.98,4.95,4.93,4.85,True,0.88,25,1302.0
no response,0.0,1.0,False,7.0,True,True,Lawrence Park North,43.73291,-79.39429,Entire rental unit,Entire home/apt,4,2.0,2.0,115.0,31,1125,0,0,0,158,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.06,24,3643.0
within a few hours,1.0,0.96,False,5.0,True,True,Mount Pleasant East,43.7101,-79.37959,Entire rental unit,Entire home/apt,4,2.0,2.0,140.0,3,27,2,16,46,46,38,22,4,4.76,4.87,4.82,4.92,4.82,4.87,4.82,False,0.78,34,2341.0
no response,0.0,0.0,False,5.0,True,False,Agincourt North,43.80283,-79.27042,Entire villa,Entire home/apt,5,2.0,3.0,120.0,28,1125,0,0,0,0,4,0,0,4.75,4.75,4.25,4.75,4.75,4.75,4.75,True,0.08,19,3632.0
no response,0.0,0.0,False,2.0,True,False,High Park North,43.65756,-79.4646,Entire rental unit,Entire home/apt,2,1.0,1.0,160.0,28,1125,0,0,0,0,24,0,0,5.0,5.0,4.95,5.0,5.0,4.9,4.62,True,0.49,24,3661.0
no response,0.0,0.0,False,2.0,True,False,Forest Hill South,43.69796,-79.40637,Private room in home,Private room,2,1.0,1.0,75.0,28,1125,0,0,0,0,5,0,0,5.0,5.0,5.0,5.0,5.0,4.8,4.8,True,0.1,19,3657.0
within a few hours,1.0,0.98,True,2.0,True,True,High Park-Swansea,43.64825,-79.48183,Entire guest suite,Entire home/apt,3,1.0,1.0,122.0,2,14,0,20,50,294,45,33,6,4.91,4.93,4.82,4.95,5.0,4.98,4.75,False,0.92,29,1416.0
within an hour,1.0,0.95,True,7.0,True,True,Moss Park,43.66073,-79.3679,Entire rental unit,Entire home/apt,3,2.0,2.0,230.0,239,400,0,0,0,248,37,1,0,5.0,5.0,5.0,5.0,5.0,4.57,4.92,False,0.83,38,3035.0
within an hour,1.0,0.87,True,3.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66118,-79.45127,Entire home,Entire home/apt,5,2.0,3.0,196.0,28,1125,14,21,51,141,64,5,1,4.86,4.88,4.83,4.94,4.91,4.83,4.67,False,1.31,35,2721.0
no response,0.0,0.0,False,3.0,True,True,Waterfront Communities-The Island,43.64269,-79.40209,Private room in condo,Private room,2,1.0,1.0,100.0,28,30,0,0,0,0,6,0,0,4.83,4.67,4.83,5.0,5.0,5.0,4.83,True,0.12,34,2179.0
within a few hours,1.0,1.0,False,1.0,True,False,Niagara,43.64223,-79.4035,Entire condo,Entire home/apt,3,2.0,2.0,150.0,90,200,0,0,0,0,4,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.09,57,1816.0
within an hour,1.0,0.97,True,3.0,True,True,Niagara,43.64189,-79.40493,Entire townhouse,Entire home/apt,4,2.0,2.0,267.0,4,20,2,8,35,35,70,23,1,4.93,4.93,4.83,4.9,4.93,4.94,4.87,False,1.46,54,2924.0
no response,0.0,0.0,False,1.0,True,True,Niagara,43.63876,-79.41931,Entire loft,Entire home/apt,5,2.0,4.0,1000.0,28,1125,0,0,0,0,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.06,21,1902.0
no response,0.0,0.0,False,2.0,True,True,The Beaches,43.67353,-79.28945,Entire rental unit,Entire home/apt,2,1.0,1.0,139.0,7,90,0,0,0,0,63,0,0,4.89,4.97,4.94,5.0,4.95,4.97,4.84,False,1.28,43,3513.0
within an hour,1.0,0.89,True,7.0,True,True,Waterfront Communities-The Island,43.64395,-79.39087,Entire condo,Entire home/apt,6,2.0,3.0,706.0,5,1125,19,49,79,79,95,9,2,4.94,4.94,4.94,4.94,4.94,5.0,4.93,False,2.03,64,2820.0
within an hour,1.0,1.0,True,1.0,True,True,Taylor-Massey,43.69164,-79.28991,Private room in bungalow,Private room,2,1.0,1.0,89.0,2,60,7,30,60,150,79,40,4,4.85,4.83,4.72,4.91,4.95,4.81,4.81,False,1.61,55,3128.0
within an hour,1.0,0.85,False,1.0,True,True,Yorkdale-Glen Park,43.71906,-79.45193,Entire home,Entire home/apt,8,4.0,4.0,321.0,2,1125,2,23,53,233,67,19,0,4.54,4.73,4.48,4.99,4.94,4.88,4.58,False,1.37,48,1187.0
within an hour,0.93,0.77,False,3.0,True,True,Hillcrest Village,43.79298,-79.3628,Private room in bungalow,Private room,2,1.0,1.0,54.0,1,30,0,0,0,249,5,4,0,4.8,4.8,4.6,5.0,5.0,4.6,5.0,False,0.14,26,3666.0
within an hour,1.0,0.98,False,6.0,True,True,Waterfront Communities-The Island,43.64274,-79.38179,Entire condo,Entire home/apt,5,2.0,3.0,400.0,1,89,0,0,0,0,95,52,1,4.75,4.78,4.85,4.69,4.89,5.0,4.76,False,2.22,35,3623.0
a few days or more,0.0,0.0,False,24.0,True,True,Moss Park,43.6604,-79.37289,Room in hotel,Private room,2,1.0,1.0,209.0,28,31,29,59,89,364,195,0,0,4.69,4.86,4.75,4.88,4.91,4.64,4.76,True,4.25,16,3442.0
no response,0.0,0.0,False,1.0,True,True,Palmerston-Little Italy,43.65932,-79.42714,Entire home,Entire home/apt,6,2.0,2.0,145.0,3,30,0,0,0,0,28,0,0,4.93,5.0,4.89,4.94,4.94,4.89,4.83,False,0.58,19,3658.0
within a day,0.5,0.0,False,1.0,True,True,South Riverdale,43.66483,-79.3352,Entire home,Entire home/apt,6,3.0,3.0,419.0,28,60,29,59,89,179,23,0,0,4.83,4.87,4.61,4.96,4.83,4.87,4.74,False,0.47,31,1389.0
within an hour,0.93,0.77,False,3.0,True,True,Hillcrest Village,43.7947,-79.36462,Private room in bungalow,Private room,1,1.0,1.0,49.0,1,30,1,1,1,1,5,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.11,15,3666.0
within an hour,0.89,0.94,False,3.0,True,True,Waterfront Communities-The Island,43.64442,-79.39313,Entire condo,Entire home/apt,3,2.0,2.0,112.0,31,60,0,0,15,15,44,6,0,4.82,4.93,4.61,4.84,4.91,4.98,4.84,False,0.94,46,3622.0
within an hour,1.0,0.71,True,4.0,True,True,Palmerston-Little Italy,43.66185,-79.41483,Private room in home,Private room,1,1.0,1.0,85.0,4,90,0,0,0,0,17,1,0,4.88,4.88,4.88,4.94,5.0,4.94,4.75,False,0.41,32,2654.0
no response,0.0,0.0,False,1.0,True,True,Oakridge,43.69407,-79.28833,Entire home,Entire home/apt,6,3.0,3.0,149.0,28,1125,0,0,0,0,35,0,0,4.85,4.85,4.79,4.94,4.97,4.79,4.76,False,0.72,28,1610.0
within a few hours,1.0,1.0,False,2.0,True,True,Thistletown-Beaumond Heights,43.73293,-79.56276,Entire guest suite,Entire home/apt,2,1.0,1.0,82.0,28,1125,28,58,88,363,133,9,0,4.63,4.71,4.68,4.92,4.75,4.64,4.59,True,2.69,24,2578.0
no response,0.0,0.0,False,2.0,False,False,Parkwoods-Donalda,43.76344,-79.31991,Private room in condo,Private room,1,1.0,1.0,32.0,28,1125,0,0,0,0,2,0,0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,False,0.04,13,2722.0
no response,0.0,0.0,False,3.0,True,True,Oakridge,43.69124,-79.28594,Entire rental unit,Entire home/apt,3,1.0,1.0,34.0,28,1125,0,0,0,0,22,0,0,4.48,4.81,4.57,4.9,4.95,4.52,4.62,True,0.45,20,3561.0
no response,0.0,0.0,False,3.0,True,True,Waterfront Communities-The Island,43.64859,-79.39374,Entire condo,Entire home/apt,3,1.0,1.0,153.0,28,1125,0,0,0,0,162,0,0,4.87,4.92,4.9,4.93,4.88,4.96,4.8,True,3.27,33,2295.0
no response,0.0,0.0,False,2.0,True,False,Rosedale-Moore Park,43.67331,-79.37537,Entire rental unit,Entire home/apt,2,1.0,1.0,90.0,28,1125,0,0,0,0,4,0,0,5.0,4.25,5.0,5.0,5.0,5.0,5.0,False,0.08,23,3669.0
